Date,Client Name,Client Number,Org Name,Org Type,Location,City,Business type,Products,Proposal Amount,Finally Budget,End of Date,Priority,Email,Status,Additional Remarks,Call Back Comments,Call Back,Referral Name
2024-05-29,Katherine Dean,916906126671,Weber LLC,Others,UK,Namakkal,Recurring,CRM,72596,13010,2024-04-23,Low,mbryant@example.net,Follow up,He financial reality until those eight.,Explain here box speech skin dark.,2024-05-29,Ravi Kumar
2024-04-17,Ryan Owens,917436425501,Schmidt-Higgins,Others,USA,Paramakudi,One Time,SMM,40048,30790,2024-01-31,Medium,davistamara@example.com,Call Back,Other church source discuss call.,Though treatment mission amount onto.,2024-04-17,Sathish
2024-03-26,Adam Gray,918938103626,Watson-Mueller,Restaurant,India,Madhurai,Recurring,Google Ads,22612,39733,2024-03-19,Low,williamsian@example.org,Closed,By past word fast drop method politics.,Leg product forget mother Republican yourself.,2024-03-26,Arun Kumar
2024-02-29,Debbie Carpenter,919870283998,Reid-Rodriguez,Others,Singapore,Thambaram,Recurring,Branding,46660,22564,2024-06-20,Low,llopez@example.org,Hold,Perhaps lose natural leader.,Hope source determine exist story drop example.,2024-02-29,Vignesh
2024-01-29,Michael Mason,919490620718,Levine PLC,Others,Japan,Chennai,Recurring,Marketing,57244,4680,2024-06-18,Low,robinsonangela@example.net,Follow up,World myself them paper spring.,Fast expert seat body really cause never nor.,2024-01-29,Arun Kumar
2024-06-22,Joshua Anderson,916181094954,Morales-Johnson,Hospital,Malaysia,Madhurai,One Time,Design,67044,17445,2024-03-02,Medium,ericwilliams@example.org,Closed,Offer south reflect will they magazine member audience.,Myself TV happen create bar run town community.,2024-06-22,Vignesh
2024-03-19,Jose Deleon,916336210814,"Bell, Harris and Moore",Restaurant,Malaysia,Karaikudi,One Time,CRM,76229,55607,2024-01-13,Low,aturner@example.net,Closed,Beyond friend world.,Professional ready plant door us person table.,2024-03-19,Ravi Kumar
2024-01-05,Timothy Martinez,919008521073,Nelson Group,Restaurant,Malaysia,Namakkal,Recurring,SMM,24654,7244,2024-06-29,Low,jamie37@example.org,Call Back,Say society election rich.,Executive image note.,2024-01-05,Arun Kumar
2024-03-05,Erik Vang,918052493110,Thornton-Underwood,Interior,Japan,Karaikudi,Recurring,Branding,17807,6592,2024-05-12,High,madisonhamilton@example.com,Call Back,Car home never model record rise themselves high.,Official this pattern work message manager.,2024-03-05,Sathish
2024-05-14,Elijah Wallace,918407669315,"Nelson, Martin and Brown",Hospital,Japan,Erodu,Recurring,Website,7283,34810,2024-03-14,High,maddoxmatthew@example.org,Proposed,Sign best expert.,Drive identify arrive something follow study kitchen wait.,2024-05-14,Vignesh
2024-05-17,Brian Brown,918978330463,"Campos, Johnson and Hutchinson",Hospital,Malaysia,Namakkal,Recurring,Design,4148,30022,2024-02-06,Low,awaters@example.com,Do Not Disturb,Clearly your process allow idea different.,Visit look heart accept approach election middle.,2024-05-17,Sathish
2024-05-03,Jacob Hoffman,919421277614,Patterson-Levine,Interior,India,Salam,Recurring,Google Ads,27583,28704,2024-06-14,Low,elizabethjohnson@example.com,Do Not Disturb,Choice find TV action.,Watch church director gun case surface himself.,2024-05-03,Prasath
2024-04-18,Jason Gomez,918211759368,Horn-Christensen,Hospital,Malaysia,Erodu,One Time,Google Ads,61118,4055,2024-06-18,Medium,burchjasmine@example.net,Follow up,Yet at general.,Interesting allow put conference.,2024-04-18,Prasath
2024-03-22,Robert Castillo,918563018369,"Nixon, Serrano and Robinson",Restaurant,Singapore,Pudukkottai,One Time,Marketing,57499,97748,2024-01-15,High,lindaclayton@example.net,Do Not Disturb,As nearly rest prevent sport level.,Theory store I relationship individual long.,2024-03-22,Arun Kumar
2024-04-08,Jacqueline Perkins,918175080813,"Smith, Hayes and Cunningham",Hospital,USA,Karaikudi,Recurring,Meta Ads,65722,4143,2024-03-14,Medium,qmorris@example.net,Do Not Disturb,Year police since last least.,Apply someone some another special.,2024-04-08,Vignesh
2024-01-28,Dustin James,916776856969,"Robbins, Mccann and Williams",Hospital,Malaysia,Salam,Recurring,Marketing,35494,29611,2024-02-08,Medium,meadowsjennifer@example.com,Fresh,South light street picture born nice drug meet.,Serve value specific focus interest when cultural whatever.,2024-01-28,Prasath
2024-05-19,Sean Stone,916357411659,Alvarez-Stevens,Others,India,Chennai,One Time,Branding,44151,22616,2024-01-04,Medium,pamela58@example.com,Proposed,Prepare cup also week.,Media prevent budget those service star spring.,2024-05-19,Prasath
2024-05-17,Theresa Hawkins,916980782872,"Johnson, Gallagher and West",Restaurant,Japan,Madhurai,One Time,Marketing,17221,90250,2024-01-11,High,brandonhernandez@example.com,Do Not Disturb,Bring second fall few light.,Common one here east kid.,2024-05-17,Sathish
2024-06-06,Edwin Sims,917113062012,Anderson-Hebert,Interior,Singapore,Paramakudi,One Time,SMM,30321,94669,2024-02-13,High,johnsondonna@example.org,Call Back,Someone focus south where admit.,Class exactly parent form my by.,2024-06-06,Arun Kumar
2024-04-17,John Ortiz,919492564906,Gray Inc,Interior,USA,Pudukkottai,Recurring,Branding,78147,33276,2024-06-23,Medium,justin50@example.net,Follow up,Know third soon north simply manager.,View pick large plant.,2024-04-17,Prasath
2024-03-07,Jennifer Sexton,918633643655,Campbell-Hammond,Hospital,USA,Salam,One Time,Website,27034,57183,2024-04-21,High,anne66@example.com,Call Back,Protect statement cover join.,Cost apply name story week what fish.,2024-03-07,Prasath
2024-03-26,April Lambert,916368051689,Kelly-Zamora,Restaurant,Japan,Pudukkottai,One Time,Marketing,36244,89577,2024-02-10,Low,joshua54@example.com,Do Not Disturb,President today close Democrat impact behavior.,Onto strong about approach relate learn.,2024-03-26,Prasath
2024-03-08,Angela Wilkerson,917860883458,Burns Ltd,Hospital,India,Erodu,One Time,Website,18530,37592,2024-03-27,Medium,brandyhernandez@example.com,Fresh,Enjoy alone modern democratic standard organization better.,Also field suddenly from bit study.,2024-03-08,Vignesh
2024-01-21,Frank Rogers,916842920571,"Johnson, Lawson and Aguilar",Others,Singapore,Erodu,Recurring,Video Editing,92157,26744,2024-03-08,High,fnorris@example.com,Proposed,Account series voice friend including animal.,Page agree subject see somebody yourself.,2024-01-21,Ravi Kumar
2024-04-18,Olivia York,918700859132,Morrow and Sons,Others,Japan,Sengalpattu,Recurring,Design,72598,92513,2024-02-16,Low,rhernandez@example.com,Do Not Disturb,Hair become own natural sing brother.,Despite past such offer box.,2024-04-18,Sathish
2024-03-04,Donald Nguyen,919579705409,Walls LLC,Others,Singapore,Paramakudi,Recurring,Google Ads,50234,93269,2024-04-11,High,fcowan@example.com,Call Back,Ago identify investment suffer more southern order.,Decade wonder apply politics.,2024-03-04,Prasath
2024-05-07,Andrew Hammond,917194629019,Butler Group,Interior,UK,Pudukkottai,One Time,CRM,87093,96858,2024-01-08,High,chad61@example.net,Do Not Disturb,Our present home play.,Next probably scene audience speak exist.,2024-05-07,Prasath
2024-03-25,Michael Ramos,919604111956,Wong Inc,Restaurant,India,Karaikudi,Recurring,Video Editing,25432,13179,2024-05-25,High,wblankenship@example.net,Fresh,It wide hand since open science resource interest.,Individual go first issue kitchen necessary.,2024-03-25,Prasath
2024-05-30,Debra Castillo,916592426984,Tucker-Walker,Restaurant,USA,Sengalpattu,One Time,CRM,62992,75651,2024-03-08,High,thomasreed@example.net,Follow up,Window detail source news ground deal.,List reduce understand give sing total.,2024-05-30,Sathish
2024-05-20,Mark Morris,917107466689,"Baker, Hernandez and Cochran",Restaurant,Japan,Sengalpattu,Recurring,Branding,3973,1058,2024-05-14,Medium,jamesanthony@example.com,Proposed,Lawyer rather his long poor subject.,Pull movie wind guy type success phone physical.,2024-05-20,Ravi Kumar
2024-01-10,Rachel Petersen,918566389114,"Serrano, Jones and Clark",Others,USA,Salam,One Time,Website,52722,75821,2024-03-24,High,heidiwilliams@example.com,Follow up,Approach part station official.,Itself skill nice girl campaign general between according.,2024-01-10,Ravi Kumar
2024-04-03,Jacqueline Aguilar,919941078086,Howell-Patton,Hospital,UK,Madhurai,Recurring,Google Ads,77154,3886,2024-02-12,Low,andersonmark@example.org,Closed,Study step wait.,Allow door appear stop education social rather.,2024-04-03,Sathish
2024-05-15,Amanda Scott,916419649942,Parker-Smith,Hospital,USA,Sengalpattu,Recurring,Design,6028,15284,2024-05-14,Low,fdiaz@example.com,Follow up,Although argue could seat do.,Indeed to candidate yet idea.,2024-05-15,Arun Kumar
2024-01-01,Christina Finley,919901163660,Smith-Taylor,Interior,Japan,Erodu,Recurring,Branding,4603,22728,2024-03-27,High,donald11@example.org,Follow up,Whatever point mention set benefit.,Early pick record.,2024-01-01,Prasath
2024-01-23,Sarah Baker,916441209985,"Rivers, Bell and Fernandez",Hospital,USA,Paramakudi,Recurring,Website,71912,79931,2024-01-26,Low,nathan38@example.org,Call Back,Office federal thousand field eye natural ahead concern.,Economic occur growth early take imagine.,2024-01-23,Sathish
2024-01-31,Patricia Smith,917412338174,Edwards Inc,Interior,India,Chennai,Recurring,Design,39883,60947,2024-05-03,High,melissa49@example.org,Closed,Mouth every record guy conference positive pull.,Start military who despite option put letter.,2024-01-31,Ravi Kumar
2024-06-28,Kathleen Rice,919515006955,Hicks PLC,Interior,Malaysia,Paramakudi,One Time,Video Editing,82798,54942,2024-04-28,High,hansonjose@example.org,Call Back,Seem occur apply defense soldier sure new.,Concern business general put knowledge.,2024-06-28,Ravi Kumar
2024-07-01,David Smith,919615360916,"Lang, Oconnor and Alvarez",Restaurant,Japan,Sengalpattu,One Time,Design,26719,73027,2024-03-29,Medium,jennifer56@example.org,Hold,Professional act nice sport teacher go benefit.,Your former grow law music total production.,2024-07-01,Vignesh
2024-02-28,Tyler Lopez,917398163522,"Humphrey, Banks and Smith",Hospital,India,Paramakudi,One Time,Meta Ads,66967,34122,2024-05-22,High,ashley00@example.org,Follow up,Scene really think general course itself.,Mother thing imagine pass thus.,2024-02-28,Vignesh
2024-02-27,Patricia Thompson,916980917748,"Thompson, Smith and Harris",Interior,India,Chennai,One Time,Design,46732,99585,2024-02-29,Low,whitenorman@example.com,Closed,Do either arm carry fear.,Blood friend loss onto water defense agreement.,2024-02-27,Ravi Kumar
2024-01-23,Leslie Nguyen,919358467644,Weeks-Gaines,Others,Malaysia,Erodu,Recurring,Marketing,13578,7774,2024-03-26,High,wmckee@example.org,Do Not Disturb,Describe clearly scientist.,Garden member bag movement accept team right.,2024-01-23,Ravi Kumar
2024-03-11,Tracy Williams,916333146770,Munoz PLC,Restaurant,Japan,Karaikudi,One Time,CRM,10969,44047,2024-01-23,Medium,paulashepard@example.net,Fresh,Meeting simply eight as.,Business method man phone lose lay director clearly.,2024-03-11,Sathish
2024-06-04,Robert Allen,919055344258,"Black, Chavez and Kelley",Interior,Japan,Pudukkottai,Recurring,Video Editing,53032,27030,2024-03-26,High,tyler93@example.net,Proposed,Want until compare issue success.,Claim physical energy into figure.,2024-06-04,Ravi Kumar
2024-06-09,Kelly Palmer,919734649781,Morgan Inc,Hospital,India,Karaikudi,Recurring,Branding,32526,80089,2024-02-09,Low,edwardsnicole@example.net,Proposed,Right much lose present.,Tell age eat what.,2024-06-09,Vignesh
2024-02-06,Kristopher Stevenson,918320312859,Spencer and Sons,Interior,USA,Chennai,Recurring,Meta Ads,17389,60084,2024-04-12,Low,mary25@example.net,Proposed,Eye service beyond seat.,House shake at kid art she.,2024-02-06,Vignesh
2024-06-01,Amy Williams,918344130443,Gomez-Gates,Restaurant,India,Salam,Recurring,Website,76204,34137,2024-06-08,Low,mrodriguez@example.org,Closed,Run each west culture long.,Tonight good guy human.,2024-06-01,Ravi Kumar
2024-01-28,Elizabeth Russell,916474023994,"Bernard, Rose and Chandler",Interior,India,Salam,Recurring,SMM,88261,96991,2024-04-29,High,cory95@example.org,Hold,Oil message kid car wall course significant.,Provide position I.,2024-01-28,Ravi Kumar
2024-04-02,Vincent Gomez,916690326989,"Harris, Taylor and Martinez",Interior,Japan,Erodu,Recurring,CRM,72166,23127,2024-04-21,High,herrerabetty@example.org,Hold,Two thus involve.,Resource offer different provide her.,2024-04-02,Vignesh
2024-01-11,Christine Shepard,917199514037,Brown Group,Hospital,Singapore,Pudukkottai,One Time,Website,11016,27696,2024-06-14,Medium,rkelly@example.net,Follow up,About guy benefit section against film one.,Space toward soon detail personal field tell lead.,2024-01-11,Sathish
2024-02-13,Ryan Bradley,918511752624,"Jackson, Osborne and Hart",Restaurant,UK,Thambaram,Recurring,Website,68295,62185,2024-02-19,Medium,xpalmer@example.com,Closed,Recently general person across.,Mission single half big.,2024-02-13,Arun Kumar
2024-01-27,Mark Farrell,918200052117,Cabrera-Barnett,Interior,UK,Madhurai,Recurring,SMM,51227,7745,2024-06-01,Low,cgonzalez@example.com,Proposed,Face force relationship fine.,Only debate view present go along.,2024-01-27,Vignesh
2024-05-13,Michael Scott,919621164778,White-Rose,Restaurant,USA,Karaikudi,One Time,Marketing,24404,38761,2024-03-24,Medium,simmonswendy@example.net,Call Back,Tend step painting enter couple trouble democratic least.,Huge paper surface degree wide part.,2024-05-13,Vignesh
2024-03-06,Cheryl Morales,918356003484,"Parker, Tucker and Frank",Others,Malaysia,Salam,One Time,Branding,92256,25211,2024-06-12,Low,hsoto@example.org,Hold,Lawyer network sell decade pretty.,Represent share former administration.,2024-03-06,Vignesh
2024-06-05,Andrew Harris,918127033951,Santos-Johnson,Restaurant,India,Pudukkottai,One Time,Website,28214,6821,2024-03-02,High,rodriguezjared@example.net,Call Back,Per defense forward now.,Card take price room full.,2024-06-05,Ravi Kumar
2024-05-06,Thomas Carey,916017762063,Rogers Inc,Interior,UK,Paramakudi,One Time,Design,51088,73015,2024-05-02,High,judy78@example.net,Hold,Raise relationship country her.,Push society oil trouble skin stop serve.,2024-05-06,Vignesh
2024-06-18,Elizabeth Garcia,919314664597,"Washington, Solomon and Carroll",Others,India,Paramakudi,One Time,Branding,50839,16904,2024-04-25,Medium,katrinavilla@example.net,Hold,Early specific cell believe lead.,Very seek war still color smile agree.,2024-06-18,Vignesh
2024-05-04,Stephanie Hernandez,919575959359,"Merritt, Orozco and Butler",Others,USA,Madhurai,One Time,Video Editing,10795,11756,2024-01-17,High,mreid@example.com,Follow up,Between improve score education them describe.,Year sort animal number voice act national.,2024-05-04,Arun Kumar
2024-05-18,Lauren Davis,916203732071,"Powell, Dillon and Johnson",Restaurant,Singapore,Karaikudi,Recurring,Website,9132,87866,2024-04-02,Medium,kaylacarter@example.net,Call Back,Weight door toward product full product including nothing.,Pm many head participant hand whatever with let.,2024-05-18,Prasath
2024-05-14,Amber Marquez,917874666390,Francis-Williams,Restaurant,Japan,Karaikudi,One Time,SMM,49422,21641,2024-01-13,High,marcus07@example.net,Hold,Piece rock continue size apply various charge.,Use skin goal establish eat boy open perform.,2024-05-14,Arun Kumar
2024-06-06,Cynthia Phillips,919418517381,"Morgan, Mack and Terrell",Restaurant,Singapore,Namakkal,One Time,Marketing,54608,80499,2024-06-01,Low,rturner@example.net,Hold,Treatment know base from option fund.,Miss source result less baby.,2024-06-06,Sathish
2024-02-11,James Mathis,919206078757,Singh-Watkins,Restaurant,Singapore,Salam,Recurring,Branding,52777,37554,2024-03-15,Low,tanya95@example.org,Closed,Box role campaign price guy hold fall.,Major early north trial three explain decision.,2024-02-11,Vignesh
2024-06-27,William Smith,916393771780,"Young, Wiggins and Lowe",Restaurant,Singapore,Thambaram,One Time,CRM,4189,12057,2024-03-24,Medium,nolanjeffrey@example.net,Hold,Still peace no style.,Leg against build piece class his opportunity.,2024-06-27,Prasath
2024-02-09,Philip Jones,917780993563,Moore Inc,Hospital,UK,Paramakudi,One Time,Marketing,29975,98662,2024-02-08,Medium,vwilliams@example.org,Call Back,Specific guy agency officer close economic.,Into about scientist risk choose everyone.,2024-02-09,Prasath
2024-07-02,Joseph Evans,917897908302,Zimmerman-Burns,Others,Japan,Salam,One Time,SMM,96129,66164,2024-04-01,High,matthew34@example.net,Fresh,Discussion build national threat everyone.,Class wrong more.,2024-07-02,Vignesh
2024-05-10,Margaret Ramirez,916188679277,Hood-West,Restaurant,UK,Salam,One Time,Website,78830,24465,2024-06-21,Low,omartinez@example.net,Call Back,Positive minute show throughout expect notice.,Standard join read think.,2024-05-10,Vignesh
2024-06-27,Laura Ferrell,918120484155,"Villa, Jones and Mathis",Restaurant,UK,Namakkal,One Time,Marketing,40339,94402,2024-02-11,Low,dmata@example.com,Call Back,While decision listen then.,Environment change statement very bed culture see seem.,2024-06-27,Ravi Kumar
2024-01-16,Michelle Reynolds,918011709019,Patterson-Cooley,Others,India,Madhurai,One Time,Marketing,57849,2892,2024-03-31,High,kperkins@example.com,Closed,Could coach rather protect break office.,Share town action believe tend catch.,2024-01-16,Ravi Kumar
2024-06-16,Nancy Stark,918701770242,"Smith, Wright and Harvey",Restaurant,UK,Paramakudi,One Time,CRM,5727,47316,2024-04-18,Low,garywilson@example.net,Follow up,Meeting lawyer majority.,Piece with serve admit reality memory realize.,2024-06-16,Vignesh
2024-06-18,Nicole Hughes,918745167993,"Hickman, Hall and Hale",Interior,Malaysia,Karaikudi,One Time,Design,17798,9958,2024-05-17,High,srobinson@example.org,Hold,Allow group art treat medical.,Interview commercial coach job next newspaper.,2024-06-18,Sathish
2024-05-09,Vicki Curtis,918387560589,Lopez-Watson,Restaurant,UK,Erodu,One Time,Design,35172,57151,2024-05-06,Medium,wmiller@example.org,Proposed,Section black professional evening address choice campaign bad.,Happen dream poor.,2024-05-09,Sathish
2024-01-10,Robert Bryant,919166959074,Kelly PLC,Others,Japan,Paramakudi,Recurring,Video Editing,50294,95264,2024-01-13,Medium,gibbsdebra@example.net,Closed,Education theory seven son state everybody interesting.,Ground build game return tend food.,2024-01-10,Prasath
2024-02-29,David Becker,917154140187,Hayes-Jones,Interior,Singapore,Chennai,One Time,Website,74410,26336,2024-03-08,Medium,riverajohn@example.net,Do Not Disturb,Black themselves space across continue teacher between expect.,Television agent eight various sit would.,2024-02-29,Prasath
2024-06-12,Ronnie Cross,918210425675,Gates-Scott,Hospital,India,Sengalpattu,One Time,SMM,48706,76903,2024-03-26,Low,stephen08@example.net,Fresh,Pick exactly debate stand general own executive.,It today such hotel.,2024-06-12,Vignesh
2024-01-21,Wendy English,916064876815,"Acosta, Lee and Keller",Interior,Malaysia,Erodu,One Time,Video Editing,70824,67598,2024-02-19,Low,samantha45@example.com,Proposed,Opportunity bad suggest throughout.,Buy three product campaign forward from guess.,2024-01-21,Sathish
2024-05-27,Jaime Fuller,917660574544,Harvey PLC,Interior,India,Pudukkottai,Recurring,SMM,31092,80225,2024-04-03,Low,hduffy@example.org,Hold,Example war family strategy position school.,Off believe present fact.,2024-05-27,Prasath
2024-01-17,Daniel Waller,917092111481,Green-Wells,Others,USA,Sengalpattu,Recurring,Branding,48745,73733,2024-03-12,Medium,jason21@example.com,Fresh,Describe produce for dog cost.,Here story by interest partner.,2024-01-17,Arun Kumar
2024-03-30,David Jenkins,919991547513,Morales-Knight,Others,Japan,Erodu,Recurring,Design,63833,26627,2024-06-05,Low,gary93@example.com,Proposed,Career line particular dark age traditional.,Bank trouble wish everyone time.,2024-03-30,Prasath
2024-06-01,Brandi Santos,919876061561,Oneal Ltd,Hospital,Japan,Namakkal,Recurring,Website,36277,80715,2024-05-16,High,briana20@example.com,Hold,Summer student finish cold.,Trip throughout involve outside water group can.,2024-06-01,Arun Kumar
2024-01-24,Bryan Palmer,919492365768,Ellis PLC,Restaurant,USA,Paramakudi,One Time,Website,91923,66349,2024-01-17,High,reeddennis@example.org,Proposed,Attorney commercial long food walk television.,Matter above able face.,2024-01-24,Ravi Kumar
2024-01-24,Michelle Wise,916521631687,Robinson-Aguilar,Others,UK,Pudukkottai,Recurring,Google Ads,82972,93014,2024-04-26,Medium,scooper@example.com,Call Back,Claim behind tend but.,Short firm visit new.,2024-01-24,Arun Kumar
2024-05-02,Jonathan Sullivan,917902620503,"Williams, Tran and Nelson",Hospital,Singapore,Pudukkottai,One Time,Branding,29827,45029,2024-05-04,Medium,mercedesobrien@example.com,Hold,Watch modern Congress wife thing.,Pretty nothing today lose modern official early.,2024-05-02,Sathish
2024-01-08,Michael Butler,919227216172,"Hughes, Coffey and Barnes",Others,India,Paramakudi,Recurring,Google Ads,28151,31791,2024-01-23,Low,brianmeyer@example.net,Do Not Disturb,Southern American concern.,Three available enjoy debate door.,2024-01-08,Prasath
2024-01-30,Jennifer Kerr,917848691723,Collins Ltd,Others,USA,Salam,Recurring,Design,20452,19090,2024-03-27,Medium,melissacampos@example.net,Hold,Media road degree pull investment morning board.,Worker join economy law central nearly laugh organization.,2024-01-30,Sathish
2024-03-30,Kristie Gutierrez,919381003137,Walker-Johnson,Hospital,USA,Chennai,One Time,Video Editing,28432,41493,2024-06-23,High,hterrell@example.com,Call Back,Happen production dog poor upon accept garden dog.,Reveal similar reason manager else.,2024-03-30,Sathish
2024-05-23,Todd Miller,918178852172,Solis PLC,Hospital,USA,Namakkal,One Time,Website,38133,23723,2024-04-27,Medium,kristinagomez@example.org,Call Back,Phone world bed.,Stay quickly act green simple.,2024-05-23,Sathish
2024-06-13,Carlos Ross,917317192575,"Vance, Perez and Andrade",Restaurant,Japan,Sengalpattu,One Time,Google Ads,81253,14548,2024-03-12,High,walkerluis@example.com,Follow up,Account toward let drop nation such do end.,Against consumer within front cause site.,2024-06-13,Arun Kumar
2024-05-25,Lori Giles,917622389319,Douglas-Martinez,Restaurant,USA,Erodu,One Time,Marketing,10483,13768,2024-06-30,Medium,oquinn@example.net,Fresh,Probably next sell when ready bring back.,Name road thus about.,2024-05-25,Arun Kumar
2024-02-20,Mark Baker,917142848642,Wilkinson-Williams,Hospital,India,Erodu,Recurring,Google Ads,15763,49224,2024-06-29,Medium,randallcarney@example.org,Closed,Race crime wear beautiful sing look.,Read yeah final task box really.,2024-02-20,Arun Kumar
2024-06-20,Juan Mcbride,919305109816,Adams Group,Hospital,Japan,Madhurai,Recurring,Meta Ads,82819,88321,2024-01-02,Low,heidi60@example.org,Hold,Where rather kitchen environmental stage.,Direction per poor share shoulder south.,2024-06-20,Sathish
